image_name,latitude,longitude,altitude,roll,pitch,yaw,accuracy horizontal,accuracy vertical
DSC08742.JPG,49.3915618497169646,8.1872940390277620,171.647,0.042,90.079,8.193,0.02,0.05
DSC08743.JPG,49.3915617921806316,8.1872940588343113,171.650,0.050,90.074,8.312,0.02,0.05
DSC08744.JPG,49.3915476903825663,8.1873179215547562,205.619,0.032,-0.008,46.835,0.02,0.05
DSC08745.JPG,49.3915817747477135,8.1873175886782246,205.653,0.078,-0.000,46.858,0.02,0.05
DSC08746.JPG,49.3916264600770560,8.1873181853987376,205.657,0.093,-0.011,47.091,0.02,0.05
DSC08747.JPG,49.3916663266830795,8.1873175431443066,205.637,0.066,0.005,46.984,0.02,0.05
DSC08748.JPG,49.3917080544442939,8.1873169237742189,205.592,0.074,0.035,47.117,0.02,0.05
DSC08749.JPG,49.3917496541206873,8.1873158186935147,205.609,0.080,-0.028,47.035,0.02,0.05
DSC08750.JPG,49.3917916219762319,8.1873174974768244,205.634,0.048,-0.060,47.119,0.02,0.05
DSC08751.JPG,49.3918349753903243,8.1873172727112244,205.629,0.055,-0.017,47.209,0.02,0.05
DSC08752.JPG,49.3918746424576582,8.1873171171415891,205.608,0.066,0.016,47.057,0.02,0.05
DSC08753.JPG,49.3919178750700922,8.1873172267842662,205.615,0.044,-0.023,47.000,0.02,0.05
DSC08754.JPG,49.3919590940619671,8.1873176612837035,205.621,0.110,0.010,47.024,0.02,0.05
DSC08755.JPG,49.3920007240672021,8.1873178513536526,205.619,0.050,-0.005,47.241,0.02,0.05
DSC08756.JPG,49.3920404410165332,8.1873166516449647,205.624,0.146,-0.011,47.398,0.02,0.05
DSC08757.JPG,49.3920815082189151,8.1873158773854797,205.616,0.136,0.018,47.230,0.02,0.05
DSC08758.JPG,49.3921246752333047,8.1873160613516784,205.620,0.096,-0.001,47.417,0.02,0.05
DSC08759.JPG,49.3921661772236931,8.1873158034339930,205.614,0.046,0.030,46.960,0.02,0.05
DSC08760.JPG,49.3922076226885167,8.1873159240695994,205.649,0.085,0.096,47.519,0.02,0.05
DSC08761.JPG,49.3922478954192954,8.1873157468200031,205.639,0.070,-0.027,46.880,0.02,0.05
DSC08762.JPG,49.3922907381971967,8.1873164078667457,205.646,0.100,0.065,47.338,0.02,0.05
DSC08763.JPG,49.3923310720548940,8.1873158436586557,205.643,-0.014,0.037,47.360,0.02,0.05
DSC08764.JPG,49.3923722247523287,8.1873164917087546,205.623,0.048,-0.030,47.265,0.02,0.05
DSC08765.JPG,49.3924136938119318,8.1873175009146522,205.618,0.079,-0.059,46.982,0.02,0.05
DSC08766.JPG,49.3924560801160268,8.1873183069410302,205.625,0.089,0.025,46.550,0.02,0.05
DSC08767.JPG,49.3924994543114693,8.1873189748446364,205.625,0.111,0.042,46.382,0.02,0.05
DSC08768.JPG,49.3925397018640240,8.1873212561248501,205.653,0.072,-0.033,46.758,0.02,0.05
DSC08769.JPG,49.3925804173677463,8.1873182408520151,205.673,0.068,0.140,47.864,0.02,0.05
DSC08770.JPG,49.3926233185497239,8.1873172535972714,205.657,0.077,0.028,46.769,0.02,0.05
DSC08771.JPG,49.3926637260674966,8.1873168942144918,205.651,0.072,0.011,46.823,0.02,0.05
DSC08772.JPG,49.3927050696429006,8.1873166948654479,205.627,0.033,0.015,47.058,0.02,0.05
DSC08773.JPG,49.3927486858813154,8.1873169519191062,205.622,0.072,-0.038,47.008,0.02,0.05
DSC08774.JPG,49.3927888622812929,8.1873163453589495,205.610,0.043,0.017,47.053,0.02,0.05
DSC08775.JPG,49.3928305729763224,8.1873160784088359,205.613,0.001,-0.091,46.877,0.02,0.05
DSC08776.JPG,49.3928707513408156,8.1873157996606025,205.639,0.048,0.097,47.644,0.02,0.05
DSC08777.JPG,49.3929124252526819,8.1873167781977596,205.637,0.056,0.083,47.330,0.02,0.05
DSC08778.JPG,49.3929549024595360,8.1873181789780691,205.609,0.078,0.009,46.593,0.02,0.05
DSC08779.JPG,49.3929961503276687,8.1873180747023468,205.627,0.023,0.056,46.985,0.02,0.05
DSC08780.JPG,49.3930375479582509,8.1873184435292767,205.629,0.041,-0.004,46.932,0.02,0.05
DSC08781.JPG,49.3930810651440027,8.1873201649182459,205.628,0.081,0.017,46.707,0.02,0.05
DSC08782.JPG,49.3931240278802619,8.1873200610119543,205.625,0.074,0.172,46.874,0.02,0.05
DSC08783.JPG,49.3931618184338106,8.1873191247262529,205.583,0.091,0.027,47.000,0.02,0.05
DSC08784.JPG,49.3932047319408483,8.1873178778100009,205.584,0.046,0.047,47.038,0.02,0.05
DSC08785.JPG,49.3932475083776055,8.1873174123468520,205.602,-0.008,0.036,47.004,0.02,0.05
DSC08786.JPG,49.3932891600651587,8.1873180334637450,205.627,0.053,0.044,46.904,0.02,0.05
DSC08787.JPG,49.3933307894009275,8.1873180210003831,205.637,0.083,0.036,47.189,0.02,0.05
DSC08788.JPG,49.3933710995571573,8.1873153115782102,205.642,0.003,0.068,48.438,0.02,0.05
DSC08789.JPG,49.3934139551717450,8.1873157023836924,205.620,0.030,0.022,46.963,0.02,0.05
DSC08790.JPG,49.3934535243062527,8.1873163815963181,205.636,0.042,-0.002,46.856,0.02,0.05
DSC08791.JPG,49.3934950621851812,8.1873181485822730,205.630,0.042,0.058,47.004,0.02,0.05
DSC08792.JPG,49.3935167130227768,8.1873088945776775,205.642,-0.002,0.220,72.158,0.02,0.05
DSC08793.JPG,49.3935223574370852,8.1872967416511475,205.659,0.099,0.131,96.430,0.02,0.05
DSC08794.JPG,49.3935278611741495,8.1872338380829941,205.645,-0.017,0.063,141.184,0.02,0.05
DSC08795.JPG,49.3935233955695097,8.1872265054322639,205.649,0.006,0.008,168.330,0.02,0.05
DSC08796.JPG,49.3935167501944861,8.1872238661239649,205.613,0.140,0.106,-159.562,0.02,0.05
DSC08797.JPG,49.3934735037614416,8.1872261337554804,205.568,0.148,-0.038,-133.519,0.02,0.05
